key,code,creationMoment,details,difficultyLevel,updateMoment,optionalLink,draftMode,key:project,key:developer
training-module-01,ABC-001,2020/01/15 12:30,Introduction to Java Programming,Basic,2020/01/20 10:45,http://example.com/java-tutorial,true,project-01,developer-01
training-module-02,XYZ-002,2020/02/10 09:15,Web Development Basics,Intermediate,2020/02/15 14:20,http://example.com/web-dev-basics,false,project-02,developer-01
training-module-03,PQR-003,2020/03/05 14:45,Advanced Database Management,Advanced,2020/03/10 11:30,http://example.com/db-management,true,project-03,developer-01
training-module-04,LMN-004,0001/01/01 00:00,Machine Learning Fundamentals,Advanced,,http://example.com/ml-fundamentals,false,project-04,developer-01
training-module-05,EFG-005,0001/01/02 00:00,Mobile App Development Basics,Basic,2020/05/18 13:10,,true,project-05,developer-01
training-module-06,JKL-006,1000/01/01 14:30,वेब सुरक्षा की आधारभूत,Basic,2021/06/05 09:30,http://example.com/security-basics,true,project-06,developer-01
training-module-07,OPQ-007,2022/07/28 17:45,पायथन का परिचय,Advanced,2022/07/29 17:50,http://example.com/python-intro,true,project-07,developer-01
training-module-08,RST-008,2022/07/29 00:00,モバイルアプリデザイン原則,Intermediate,2022/07/30 00:00,http://example.com/app-design,false,project-08,developer-01
training-module-09,UVW-009,2021/09/18 14:30,先進的な機械学習,Basic,2021/09/25 09:15,http://example.com/advanced-ml,true,project-09,developer-01
training-module-10,XYZ-010,2021/10/10 08:30,Cloud Computing Fundamentals,Basic,2021/10/15 12:45,http://example.com/cloud-fundamentals,false,project-10,developer-02
training-module-11,ABC-011,2021/11/05 15:45,Data Science for Beginners,Basic,2021/11/10 10:30,http://example.com/data-science-basics,true,project-01,developer-02
training-module-12,DEF-012,2021/12/20 12:00,Advanced Web Development,Advanced,,http://example.com/advanced-web-dev,false,project-01,developer-02
training-module-13,GHI-013,2022/01/12 18:20,Introduction to Artificial Intelligence,Intermediate,2022/01/18 14:15,http://example.com/ai-intro,true,project-01,developer-02
training-module-14,JKL-014,2022/02/05 10:30,Основы блокчейна,Advanced,2022/02/10 16:20,http://example.com/blockchain-basics,true,project-02,developer-02
training-module-15,MNO-015,2022/03/25 14:15,区块链基础知识,Intermediate,2022/03/30 09:45,http://example.com/quantum-computing,true,project-02,developer-02
